month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1975-12,1.1158333333333335,2.5,0.9166666666666666,0.0,0.0
1976-01,1.2791666666666666,4.333333333333333,0.0,0.0,0.0
1976-02,2.749166666666667,6.0,1.0,1.0,0.0
1976-03,3.045833333333333,7.75,2.5,0.16666666666666666,0.0
1976-04,1.8983333333333334,5.166666666666667,1.0,0.25,0.0
1976-05,1.335,2.5833333333333335,0.75,0.16666666666666666,0.0
1976-06,0.09500000000000001,0.25,0.0,0.0,0.0
1976-07,5.664,8.0,3.3,2.1,0.0
1976-08,0.6900000000000001,1.6,0.4,0.1,0.0
1976-09,5.303,13.9,2.9,0.2,0.0
1976-10,3.936,12.3,1.7,0.0,0.0
1976-11,4.321,11.2,2.9,0.3,0.0
1976-12,6.55,10.9,4.2,2.5,0.0
1977-01,6.470999999999999,12.9,4.4,1.8,0.0
1977-02,8.632727272727273,16.272727272727273,6.909090909090909,1.5454545454545454,0.0
1977-03,4.284545454545454,11.636363636363637,2.8181818181818183,0.0,0.0
1977-04,5.112727272727273,8.727272727272727,2.0,1.8181818181818181,0.0
1977-05,8.368181818181817,14.363636363636363,6.818181818181818,2.0,0.0
1977-06,6.556363636363637,11.090909090909092,5.0,1.2727272727272727,0.0
1977-07,5.317272727272727,7.636363636363637,3.727272727272727,1.5454545454545454,0.0
1977-08,4.478181818181818,6.7272727272727275,3.4545454545454546,1.3636363636363635,0.0
1977-09,1.3072727272727271,4.7272727272727275,0.2727272727272727,0.0,0.0
1977-10,6.090909090909091,10.636363636363637,4.363636363636363,1.9090909090909092,0.0
1977-11,7.365454545454545,13.272727272727273,7.181818181818182,1.2727272727272727,0.0
1977-12,4.8,9.727272727272727,3.5454545454545454,0.18181818181818182,0.0
1978-01,8.899090909090908,16.454545454545453,6.7272727272727275,1.3636363636363635,0.0
1978-02,9.127272727272727,16.181818181818183,7.818181818181818,2.1818181818181817,0.0
1978-03,10.691818181818181,14.272727272727273,7.454545454545454,3.4545454545454546,0.0
1978-04,6.928181818181819,12.909090909090908,5.0,2.1818181818181817,0.0
1978-05,5.317272727272727,8.181818181818182,3.5454545454545454,1.7272727272727273,0.0
1978-06,5.794545454545455,10.181818181818182,4.909090909090909,1.0909090909090908,0.0
